"","Date","Adj.Close","Volume","SMA_50","rsi","GSPC"
"2002-05-31","2002-05-31",0.9115,101628000,NA,NA,1067.14001464844
"2002-06-03","2002-06-03",0.898,74328000,NA,NA,1040.68005371094
"2002-06-04","2002-06-04",0.8985,136994000,NA,NA,1040.68994140625
"2002-06-05","2002-06-05",0.8995,87450000,NA,NA,1049.90002441406
"2002-06-06","2002-06-06",0.9085,105000000,NA,NA,1029.15002441406
"2002-06-07","2002-06-07",0.929,107160000,NA,NA,1027.53002929688
"2002-06-10","2002-06-10",0.865,221648000,NA,NA,1030.73999023438
"2002-06-11","2002-06-11",0.857,110416000,NA,NA,1013.59997558594
"2002-06-12","2002-06-12",0.854,146624000,NA,NA,1020.26000976562
"2002-06-13","2002-06-13",0.8715,97858000,NA,NA,1009.55999755859
"2002-06-14","2002-06-14",0.841,159464000,NA,NA,1007.27001953125
"2002-06-17","2002-06-17",0.9205,181032000,NA,NA,1036.17004394531
"2002-06-18","2002-06-18",0.939,159242000,NA,NA,1037.14001464844
"2002-06-19","2002-06-19",0.915,148406000,NA,NA,1019.98999023438
"2002-06-20","2002-06-20",0.8775,173940000,NA,NA,1006.28997802734
"2002-06-21","2002-06-21",0.8765,103536000,NA,NA,989.140014648438
"2002-06-24","2002-06-24",0.8755,119136000,NA,NA,992.719970703125
"2002-06-25","2002-06-25",0.767,306080000,NA,NA,976.140014648438
"2002-06-26","2002-06-26",0.7925,165444000,NA,NA,973.530029296875
"2002-06-27","2002-06-27",0.793,123840000,NA,NA,990.640014648438
"2002-06-28","2002-06-28",0.8125,124758000,NA,NA,989.820007324219
"2002-07-01","2002-07-01",0.6775,270730000,NA,NA,968.650024414062
"2002-07-02","2002-07-02",0.666,173398000,NA,NA,948.090026855469
"2002-07-03","2002-07-03",0.7125,154074000,NA,NA,953.989990234375
"2002-07-05","2002-07-05",0.7605,67338000,NA,NA,989.030029296875
"2002-07-08","2002-07-08",0.747,117800000,NA,NA,976.97998046875
"2002-07-09","2002-07-09",0.78,150572000,NA,NA,952.830017089844
"2002-07-10","2002-07-10",0.748,135224000,NA,NA,920.469970703125
"2002-07-11","2002-07-11",0.7775,146342000,NA,NA,927.369995117188
"2002-07-12","2002-07-12",0.7715,140000000,NA,NA,921.390014648438
"2002-07-15","2002-07-15",0.797,120522000,NA,NA,917.929992675781
"2002-07-16","2002-07-16",0.8145,215814000,NA,NA,900.940002441406
"2002-07-17","2002-07-17",0.808,146442000,NA,NA,906.039978027344
"2002-07-18","2002-07-18",0.7775,137134000,NA,NA,881.559997558594
"2002-07-19","2002-07-19",0.7645,122116000,NA,NA,847.75
"2002-07-22","2002-07-22",0.775,186658000,NA,NA,819.849975585938
"2002-07-23","2002-07-23",0.7275,225828000,NA,NA,797.700012207031
"2002-07-24","2002-07-24",0.705,395326000,NA,NA,843.429992675781
"2002-07-25","2002-07-25",0.6245,187204000,NA,NA,838.679992675781
