"","Date","Adj.Close","Volume","SMA_50","rsi","GSPC"
"2002-05-31","2002-05-31",15.846694,66468000,NA,NA,1067.14001464844
"2002-06-03","2002-06-03",15.382896,88439000,NA,NA,1040.68005371094
"2002-06-04","2002-06-04",15.557208,88008400,NA,NA,1040.68994140625
"2002-06-05","2002-06-05",16.080133,66969400,NA,NA,1049.90002441406
"2002-06-06","2002-06-06",16.154842,78703400,NA,NA,1029.15002441406
"2002-06-07","2002-06-07",16.179743,97834400,NA,NA,1027.53002929688
"2002-06-10","2002-06-10",16.441217,71825400,NA,NA,1030.73999023438
"2002-06-11","2002-06-11",16.363401,74368200,NA,NA,1013.59997558594
"2002-06-12","2002-06-12",17.287867,136198600,NA,NA,1020.26000976562
"2002-06-13","2002-06-13",16.876986,79771600,NA,NA,1009.55999755859
"2002-06-14","2002-06-14",17.197586,109433600,NA,NA,1007.27001953125
"2002-06-17","2002-06-17",17.331436,94486600,NA,NA,1036.17004394531
"2002-06-18","2002-06-18",17.427935,77518400,NA,NA,1037.14001464844
"2002-06-19","2002-06-19",16.920568,81247000,NA,NA,1019.98999023438
"2002-06-20","2002-06-20",16.839632,86401200,NA,NA,1006.28997802734
"2002-06-21","2002-06-21",16.273129,116820000,NA,NA,989.140014648438
"2002-06-24","2002-06-24",16.858316,104523200,NA,NA,992.719970703125
"2002-06-25","2002-06-25",16.481672,84025200,NA,NA,976.140014648438
"2002-06-26","2002-06-26",16.84897,112131400,NA,NA,973.530029296875
"2002-06-27","2002-06-27",17.094875,95812400,NA,NA,990.640014648438
"2002-06-28","2002-06-28",17.026398,89555600,NA,NA,989.820007324219
"2002-07-01","2002-07-01",16.391411,66473800,NA,NA,968.650024414062
"2002-07-02","2002-07-02",16.01166,82814200,NA,NA,948.090026855469
"2002-07-03","2002-07-03",16.136173,80936600,NA,NA,953.989990234375
"2002-07-05","2002-07-05",17.073093,35673600,NA,NA,989.030029296875
"2002-07-08","2002-07-08",16.47234,63199400,NA,NA,976.97998046875
"2002-07-09","2002-07-09",16.562609,85277200,NA,NA,952.830017089844
"2002-07-10","2002-07-10",16.260681,90673400,NA,NA,920.469970703125
"2002-07-11","2002-07-11",16.469223,129550600,NA,NA,927.369995117188
"2002-07-12","2002-07-12",16.142389,95733800,NA,NA,921.390014648438
"2002-07-15","2002-07-15",16.123718,136965600,NA,NA,917.929992675781
"2002-07-16","2002-07-16",15.952518,97154600,NA,NA,900.940002441406
"2002-07-17","2002-07-17",16.185966,98034800,NA,NA,906.039978027344
"2002-07-18","2002-07-18",15.908943,91053600,NA,NA,881.559997558594
"2002-07-19","2002-07-19",15.426473,112543400,NA,NA,847.75
"2002-07-22","2002-07-22",14.788373,180069800,NA,NA,819.849975585938
"2002-07-23","2002-07-23",13.387666,168061600,NA,NA,797.700012207031
"2002-07-24","2002-07-24",14.389948,202307800,NA,NA,843.429992675781
"2002-07-25","2002-07-25",13.33164,163411400,NA,NA,838.679992675781
"2002-07-26","2002-07-26",14.116035,123538000,NA,NA,852.840026855469
"2002-07-29","2002-07-29",15.018705,112148600,NA,NA,898.960021972656
"2002-07-30","2002-07-30",14.97202,122690600,NA,NA,902.780029296875
"2002-07-31","2002-07-31",14.934669,93875600,NA,NA,911.619995117188
"2002-08-01","2002-08-01",14.240538,92002800,NA,NA,884.659973144531
"2002-08-02","2002-08-02",13.823445,85947600,NA,NA,864.239990234375
"2002-08-05","2002-08-05",13.692709,78941600,NA,NA,834.599975585938
"2002-08-06","2002-08-06",14.215646,88715800,NA,NA,859.570007324219
"2002-08-07","2002-08-07",14.657644,86349400,NA,NA,876.77001953125
"2002-08-08","2002-08-08",15.224152,88748000,NA,NA,905.460021972656
"2002-08-09","2002-08-09",14.978246,69049400,15.82720274,NA,908.640014648438
"2002-08-12","2002-08-12",15.087193,56866600,15.81201272,48.1079414981147,903.799987792969
"2002-08-13","2002-08-13",14.648305,100122800,15.7973209,47.0579140864744,884.210021972656
"2002-08-14","2002-08-14",15.473166,96706000,15.79564006,49.184958248158,919.619995117188
"2002-08-15","2002-08-15",15.491841,98745600,15.78387422,49.2320835792069,930.25
"2002-08-16","2002-08-16",15.563441,69334000,15.7720462,49.4155762153721,928.77001953125
"2002-08-19","2002-08-19",16.185966,79848200,15.77217066,50.9874355376086,950.700012207031
"2002-08-20","2002-08-20",15.88715,70317600,15.76108932,50.2230461211293,937.429992675781
"2002-08-21","2002-08-21",16.273129,81203400,15.75928388,51.1875547177708,949.359985351562
"2002-08-22","2002-08-22",16.56883,72517600,15.74490314,51.9159312380012,962.700012207031
"2002-08-23","2002-08-23",16.254452,57929200,15.73245246,51.0888988124985,940.859985351562
"2002-08-26","2002-08-26",16.217102,55652400,15.71284278,50.9904172539661,947.950012207031
"2002-08-27","2002-08-27",15.824901,65470200,15.68271208,49.9586266536354,934.820007324219
"2002-08-28","2002-08-28",15.370452,68875000,15.64156242,48.7912749823124,917.869995117188
"2002-08-29","2002-08-29",15.743967,94275600,15.6180304,49.775534014827,917.799987792969
"2002-08-30","2002-08-30",15.277064,58138400,15.58677904,48.5844392876485,916.070007324219
"2002-09-03","2002-09-03",14.635855,74452600,15.55403356,47.0080875418385,878.02001953125
"2002-09-04","2002-09-04",15.006264,80232000,15.51699252,48.0025555385317,893.400024414062
"2002-09-05","2002-09-05",14.290334,90438800,15.47316576,46.2893196173679,879.150024414062
"2002-09-06","2002-09-06",14.884875,69918400,15.43388386,47.8660343978114,893.919982910156
"2002-09-09","2002-09-09",15.15878,81653200,15.39516196,48.5757498221466,902.960021972656
"2002-09-10","2002-09-10",15.498063,83950000,15.36459526,49.4455906873143,909.580017089844
